,Tweets,Date Created,URL
0,"Covid19 Bulletin: 10th June 2020

Total Confirmed Cases: 6041
Deceased: 69
Recovered: 2862
New Cases: 120

1/3",2020-06-10 12:55:13,https://t.co/j7VAycMYe6
1,"Covid19 Bulletin: 9th June 2020

Total Confirmed Cases: 5921
Deceased: 66
Recovered: 2605
New Cases: 161

Other information: Telemedicine facility, Instructions to Tablighi Jamaat Attendees, Corona Watch Application and Helpline details.1/2",2020-06-09 13:54:48,https://t.co/i1OtZ8ufRp
2,"Covid19 Bulletin: 8th June 2020

Total Confirmed Cases: 5760
Deceased: 64
Recovered: 2519
New Cases: 308

Other inf… https://t.co/lbce11Oq0K",2020-06-08 13:58:59,https://t.co/lbce11Oq0K
3,"Covid19 Bulletin: 7th June 2020

Total Confirmed Cases: 5452
Deceased: 61
Recovered: 2132
New Cases: 239

Other inf… https://t.co/qFmw7Fle0m",2020-06-07 13:12:09,https://t.co/qFmw7Fle0m
4,"Covid19 Bulletin: 6th June 2020

Total Confirmed Cases: 5213
Deceased: 59
Recovered: 1968
New Cases: 378

Other inf… https://t.co/ZHLi06IgwE",2020-06-06 13:42:42,https://t.co/ZHLi06IgwE
5,"Covid19 Bulletin: 5th June 2020

Total Confirmed Cases: 4835
Deceased: 57
Recovered: 1688
New Cases: 515

Other inf… https://t.co/PdGLQZGAqd",2020-06-05 12:52:38,https://t.co/PdGLQZGAqd
6,"Covid19 Bulletin: 4th June 2020

Total Confirmed Cases: 4320
Deceased: 57
Recovered: 1610
New Cases: 257

Other inf… https://t.co/DBRHwXaKvF",2020-06-04 13:44:03,https://t.co/DBRHwXaKvF
7,"Covid19 Bulletin: 3rd June  2020

Total Confirmed Cases: 4063
Deceased: 53
Recovered: 1514
New Cases: 267

Other in… https://t.co/JfEjFq6mYg",2020-06-03 14:53:51,https://t.co/JfEjFq6mYg
8,"Covid19 Bulletin: 2nd June  2020

Total Confirmed Cases: 3796
Deceased: 52
Recovered: 1403
New Cases: 388

Other in… https://t.co/4ecM35Byqv",2020-06-02 16:02:02,https://t.co/4ecM35Byqv
9,"Covid19 Bulletin: 1st June  2020

Total Confirmed Cases: 3408
Deceased: 52
Recovered: 1328
New Cases: 187

1/3 https://t.co/kGVEXwMRej",2020-06-01 13:21:06,https://t.co/kGVEXwMRej
10,"Covid19: Evening Bulletin, 31st May 2020

Total Confirmed Cases: 3221
Deceased: 51
Recovered: 1218
New Cases: 299… https://t.co/VqfqDT7EQg",2020-05-31 13:08:13,https://t.co/VqfqDT7EQg
11,"Covid19: Evening Bulletin, 30th May 2020

Total Confirmed Cases: 2922
Deceased: 49
Recovered: 997
New Cases: 141

1… https://t.co/kBEiIwkucy",2020-05-30 12:11:16,https://t.co/kBEiIwkucy
12,"Covid19: Evening Bulletin, 29th May 2020

Total Confirmed Cases: 2781
Deceased: 48
Recovered: 894
New Cases: 248

1… https://t.co/5O8UtyVXrR",2020-05-29 12:33:15,https://t.co/5O8UtyVXrR
13,"Covid19: Mid- Day  Bulletin

Total Confirmed Cases: 2711
Deceased: 47
Recovered: 869
New Cases: 178

1/3 https://t.co/wYmPThyvV9",2020-05-29 07:41:04,https://t.co/wYmPThyvV9
