,Tweets,Date Created,likes,retweets,Tweet Update
0,"Thank you, my friend President @PaulKagame. 

Rwanda has managed the COVID-19 crisis effectively under your leaders… https://t.co/9jrdBpmLcC",2020-06-05 14:28:29,36511,4608,old tweet
1,Addressed #GVS2020. This is a commendable effort to bring together various stakeholders and work to eliminate COVID… https://t.co/iwQA35U4EP,2020-06-04 17:01:49,33964,4877,old tweet
2,"With Comprehensive Strategic Partnership between India and Australia, we aspire to achieve yet new heights in our collaboration.",2020-06-04 06:54:45,27004,3520,old tweet
3,"Glad to be joining the first India-Australia Virtual Summit with you, PM @ScottMorrisonMP. 

India-Australia ties h… https://t.co/o9bULfVeze",2020-06-04 05:04:30,28668,4229,old tweet
4,"Had an excellent talk with H.E. Filipe Nyusi, President of Mozambique on COVID-19 situation. I assured him of India… https://t.co/i3LdEb1o80",2020-06-03 13:06:16,45677,5147,old tweet
5,MSME is the fuel that will power the success of Aatmanirbhar Bharat. https://t.co/V45ZOPOxdh,2020-06-02 11:15:20,25257,4246,old tweet
6,"ఆంధ్రప్రదేశ్ రాష్ట్ర ప్రజలకు నా శుభాకాంక్షలు.  కృషి మరియు పట్టుదల, ఈ సంస్కృతికి మారు పేరు. దేశ పురోభివృద్ధిలో ఈ రా… https://t.co/rF7FYZD7Sa",2020-06-02 03:53:45,32683,3854,old tweet
7,Best wishes to the people of Andhra Pradesh. Hardwork and courage are synonymous with the culture of this land. The… https://t.co/SwaXKVCgY4,2020-06-02 03:53:31,29303,3657,old tweet
8,Anguished by the demise of Shri KN Lakshmanan Ji. He was at the forefront of serving the people of Tamil Nadu and e… https://t.co/4yOdwwF3yV,2020-06-01 18:16:37,32936,4164,old tweet
9,"In this difficult time of COVID-19 pandemic, wishing Armenian PM @NikolPashinyan and his family a speedy recovery.… https://t.co/Q4kGzq7yXX",2020-06-01 16:27:24,34452,4134,old tweet
10,'जय किसान' के मंत्र को आगे बढ़ाते हुए कैबिनेट ने अन्नदाताओं के हक में बड़े फैसले किए हैं। इनमें खरीफ की 14 फसलों के… https://t.co/q0jMer50bW,2020-06-01 13:01:02,30287,5303,old tweet
11,Addressing the 25th anniversary programme of RGUHS. https://t.co/tCchT1oEgA,2020-06-01 06:05:59,26048,4806,old tweet
12,Greetings to the people of Goa on the occasion of their Statehood Day. Goa is a land of scenic beauty and warm hear… https://t.co/hdefUA9m0C,2020-05-30 07:40:29,44742,5220,old tweet
13,"Best wishes to the Chief Minister of Puducherry, Shri @VNarayanasami Ji on his birthday. I pray that he lives a long and healthy life.",2020-05-30 07:39:56,25684,2696,old tweet
14,"Also condoled the sad and untimely demise of Minister A. Thondaman, leader of Indian Origin Tamils in Sri Lanka. Pr… https://t.co/sal4VgcRi7",2020-05-27 16:09:53,25195,2849,old tweet
15,Conveyed warm greetings for Eid to His Highness @TamimBinHamad and the people of Qatar. Appreciated His Highness's… https://t.co/Ury5fPgBdW,2020-05-26 15:42:44,33120,3936,old tweet
16,Conveyed Eid greetings to President @AlsisiOfficial and to the people of Egypt. Also thanked him for the support ex… https://t.co/8eqfuUU9FE,2020-05-26 15:41:56,27580,3194,old tweet
17,Had a good discussion with President @vanderbellen about the measures adopted by India and Austria to respond to CO… https://t.co/xH6aRjHKzd,2020-05-26 15:41:37,50111,5331,old tweet
18,Conveyed Eid-ul-Fitr greetings to His Highness @MohamedBinZayed and the friendly people of UAE.  Thanked him for th… https://t.co/sYyIbir2Dm,2020-05-25 13:42:01,47956,5224,old tweet
19,"Thank you, Prime Minister @PKJugnauth for our warm conversation today! Congratulations for successfully controlling COVID-19 in Mauritius.",2020-05-23 09:01:12,47134,5082,old tweet
20,Went to West Bengal and Odisha to review the situation caused by the super cyclone. Conducted an aerial survey and… https://t.co/8B200ty5Ma,2020-05-22 14:59:57,34921,5226,old tweet
21,Pradhan Mantri Matsya Sampada Yojana will revolutionise the fisheries sector. It will invigorate it with latest tec… https://t.co/1hzE81jIbn,2020-05-20 15:35:03,28508,4487,old tweet
22,Important decision of the Cabinet that will contribute to a vibrant food processing sector. It will also strengthen… https://t.co/IRudpg1mk7,2020-05-20 15:30:49,26901,4430,old tweet
23,Greetings to Union Minister Shri @TCGEHLOT Ji on his birthday. May Almighty bless him with a long and healthy life.,2020-05-18 03:21:31,33657,3345,old tweet
24,Birthday wishes to our former PM Shri @H_D_Devegowda Ji. Praying for his long life and good health.,2020-05-18 03:21:01,62787,4914,old tweet
25,מזל טוב ידידי @netanyahu על הקמת הממשלה החמישית בישראל. אני מאחל לך ול@gantzbe הצלחה רבה ומצפה להמשך שיתוף פעולה הד… https://t.co/6GCXCN5Nob,2020-05-17 14:19:27,41847,5092,old tweet
26,"Sectors like medical research, clean energy and climate resilience offer great opportunities to bring Danish and In… https://t.co/fzX19KRVAB",2020-05-15 09:12:02,26606,3455,old tweet
27,"Spoke to PM @Statsmin about the COVID-19 pandemic, and how India and Denmark can strengthen cooperation in the post-COVID era.",2020-05-15 09:12:01,46540,5310,old tweet
28,Extensive discussions on the COVID-19 pandemic. Our nations will continue working together and support each other i… https://t.co/wjGMnpe0Ap,2020-05-05 17:52:03,38199,5012,old tweet
29,Birthday wishes to my colleague Shri @MundaArjun Ji. Praying for his good health and long life.,2020-05-03 10:12:54,45200,3632,old tweet
30,Greetings to Rajasthan CM Shri @ashokgehlot51 Ji on his birthday. I pray that he is blessed with a long and healthy life.,2020-05-03 10:11:35,60327,4387,old tweet
31,"The Central Government is focused on ensuring welfare of workers, helping businesses overcome the difficulties aris… https://t.co/rRqtG0IHNA",2020-05-02 17:41:13,28833,3683,old tweet
32,"Our Armed Forces have always kept the nation safe. Even in times of disasters, they are out there helping people. N… https://t.co/e4IwR1B5cr",2020-05-01 16:44:14,34909,4923,old tweet
33,"Discussed ways to further reforms in the power sector. The focus is on enhancing sustainability, resilience and imp… https://t.co/8CXbDxkgn2",2020-05-01 14:21:35,43333,5480,old tweet
34,We had a meeting today during which aspects relating to the aviation sector were reviewed. This includes ways to ma… https://t.co/XHqCCGQhme,2020-05-01 14:20:17,38008,5071,old tweet
35,My best wishes to Russian PM Mishustin for early recovery and good health. We stand with our close friend Russia in… https://t.co/5j6Jqw7Cfl,2020-05-01 03:22:57,48699,5097,old tweet
36,"Искренне желаю г-ну Мишустину, Премьер-министру России, скорейшего выздоровления и крепкого здоровья. Плечом к плеч… https://t.co/WSKrzm2jbS",2020-05-01 03:21:52,32631,3490,old tweet
37,"Had an extensive meeting to discuss reforms in the Mines and Coal sectors. Reviewed ways to ensure abundant supply,… https://t.co/HetgjYGN5T",2020-04-30 16:11:12,41332,5221,old tweet
38,Excellent effort by @CNNnews18. They have wonderfully covered different aspects that will contribute to India’s fig… https://t.co/VqUJZZ78lM,2020-04-28 13:42:30,28446,4103,old tweet
39,Shared my thoughts about the rich and noble ideals of Lord Basavanna in the video conference - Global Basava Jayant… https://t.co/dVhAxBBM0O,2020-04-26 16:06:30,42508,5387,old tweet
