State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Latitude,Longitude
Andaman and Nicobar Islands,116,51,0,65,03/07/2020,AN,11.66702557,92.73598262
Andhra Pradesh,16934,7632,206,9096,03/07/2020,AP,14.7504291,78.57002559
Arunachal Pradesh,232,71,1,160,02/07/2020,AR,27.10039878,93.61660071
Assam,9435,6107,14,3311,03/07/2020,AS,26.7499809,94.21666744
Bihar,10914,7994,78,2842,03/07/2020,BR,25.78541445,87.4799727
Chandigarh,450,389,6,55,02/07/2020,CH,30.71999697,76.78000565
Chhattisgarh,3013,2362,14,637,02/07/2020,CT,22.09042035,82.15998734
Dadra and Nagar Haveli and Daman and Diu,268,125,0,142,03/07/2020,DN,20.26657819,73.01661779999999
Delhi,92175,63007,2864,26304,02/07/2020,DL,28.6699929,77.23000403
Goa,1482,734,4,744,02/07/2020,GA,15.491997,73.81800065
Gujarat,33999,24601,1887,7511,02/07/2020,GJ,22.2587,71.1924
Haryana,15732,11074,251,4407,03/07/2020,HR,28.45000633,77.01999101
Himachal Pradesh,1016,637,9,357,03/07/2020,HP,31.10002545,77.16659704
Jammu and Kashmir,7849,4974,115,2760,02/07/2020,JK,34.29995933,74.46665849
Jharkhand,2634,1988,15,631,03/07/2020,JH,23.80039349,86.41998572
Karnataka,18016,8336,272,9404,02/07/2020,KA,12.57038129,76.91999711
Kerala,4754,2638,26,2088,02/07/2020,KL,8.900372741,76.56999263
Ladakh,991,729,1,261,02/07/2020,LA,34.209515,77.615112
Lakshadweep,0,0,0,0,26/03/2020,LD,10.56257331,72.63686717
Madhya Pradesh,14106,10815,589,2702,02/07/2020,MP,21.30039105,76.13001949
Maharashtra,186626,101172,8178,77260,02/07/2020,MH,19.25023195,73.16017493
Manipur,1279,616,0,663,02/07/2020,MN,24.79997072,93.95001705
Meghalaya,62,43,1,18,03/07/2020,ML,25.57049217,91.8800142
Mizoram,162,127,0,35,03/07/2020,MZ,23.71039899,92.72001461
Nagaland,539,228,0,311,03/07/2020,NL,25.6669979,94.11657019
Odisha,8106,5705,37,2364,03/07/2020,OR,19.82042971,85.90001746
Puducherry,824,384,13,427,03/07/2020,PY,11.93499371,79.83000037
Punjab,5784,4144,152,1488,02/07/2020,PB,31.51997398,75.98000281
Rajasthan,18785,15043,435,3307,03/07/2020,RJ,26.44999921,74.63998124
Sikkim,101,52,0,49,02/07/2020,SK,27.3333303,88.6166475
Tamil Nadu,98392,56021,1321,41050,02/07/2020,TN,12.92038576,79.15004187
Telangana,18570,9069,275,9226,02/07/2020,TG,18.1124,79.0193
Tripura,1440,1146,1,293,02/07/2020,TR,23.83540428,91.27999914
Uttar Pradesh,24825,17221,735,6869,02/07/2020,UP,27.59998069,78.05000565
Uttarakhand,2984,2405,42,510,02/07/2020,UT,30.32040895,78.05000565
West Bengal,19819,13037,699,6083,02/07/2020,WB,22.58039044,88.32994665
