Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Afghanistan,Asia,38901392,29481,618,9260,19603,758,16,66800,1717,EasternMediterranean
Albania,Europe,2877855,1995,44,1159,792,693,15,20762,7214,Europe
Algeria,Africa,43828594,11920,852,8559,2509,272,19,Not Available,Not Available,Africa
Andorra,Europe,77263,855,52,796,7,11066,673,3750,48536,Europe
Angola,Africa,32830010,186,10,77,99,6,0.3,10000,305,Africa
Antigua and Barbuda,North America,97910,26,3,22,1,266,31,489,4994,Americas
Argentina,South America,45185943,44931,1043,13153,30735,994,23,285391,6316,Americas
Armenia,Asia,2963132,21006,372,10144,10490,7089,126,98117,33113,Europe
Aruba,North America,106756,101,3,98,0,946,28,2270,21263,Not Available
Australia,Australia/Oceania,25492499,7492,102,6904,486,294,4,2119795,83154,WesternPacific
Austria,Europe,9005271,17380,690,16241,449,1930,77,565800,62830,Europe
Azerbaijan,Asia,10137018,13207,161,7168,5878,1303,16,426394,42063,Europe
Bahamas,North America,393154,104,11,77,16,265,28,2347,5970,Americas
Bahrain,Asia,1699355,22407,65,16862,5480,13186,38,485715,285823,EasternMediterranean
Bangladesh,Asia,164649824,115786,1502,46755,67529,703,9,630719,3831,South-EastAsia
Barbados,North America,287368,97,7,85,5,338,24,7474,26008,Americas
Belarus,Europe,9449382,59023,351,37923,20749,6246,37,876639,92772,Europe
Belgium,Europe,11588552,60550,9696,16771,34083,5225,837,1098910,94827,Europe
Belize,North America,397423,23,2,17,4,58,5,2043,5141,Americas
Benin,Africa,12112802,807,13,253,541,67,1,54404,4491,Africa
Bermuda,North America,62282,146,9,132,5,2344,145,10315,165618,Americas
Bhutan,Asia,771399,69,Not Available,32,37,89,Not Available,23368,30293,South-EastAsia
Bolivia,South America,11668878,25493,820,5857,18816,2185,70,61455,5267,Americas
Bosnia and Herzegovina,Europe,3281145,3525,171,2270,1084,1074,52,81030,24696,Europe
Botswana,Africa,2350227,89,1,25,63,38,0.4,33919,14432,Africa
Brazil,South America,212525202,1111348,51407,594104,465837,5229,242,2510717,11814,Americas
Brunei ,Asia,437379,141,3,138,0,322,7,26571,60751,Not Available
Bulgaria,Europe,6949249,3984,207,2171,1606,573,30,119556,17204,Europe
Burkina Faso,Africa,20884116,903,53,814,36,43,3,Not Available,Not Available,Africa
Burundi,Africa,11878485,144,1,93,50,12,0.08,382,32,Africa
CAR,Africa,4827416,2963,30,495,2438,614,6,20901,4330,Not Available
Cabo Verde,Africa,555839,944,8,419,517,1698,14,1307,2351,Africa
Cambodia,Asia,16712920,130,Not Available,127,3,8,Not Available,32281,1931,WesternPacific
Cameroon,Africa,26524696,12041,308,7740,3993,454,12,Not Available,Not Available,Africa
Canada,North America,37734379,101637,8436,64334,28867,2693,224,2444118,64772,Americas
Cayman Islands,North America,65703,195,1,146,48,2968,15,20831,317048,Not Available
Chad,Africa,16409779,858,74,755,29,52,5,Not Available,Not Available,Africa
Channel Islands,Europe,173825,570,47,512,11,3279,270,10255,58996,Not Available
Chile,South America,19112361,246963,4502,205397,37064,12922,236,982353,51399,Americas
Colombia,South America,50869620,71183,2310,28968,39905,1399,45,620288,12194,Americas
Comoros,Africa,869044,247,5,159,83,284,6,Not Available,Not Available,Africa
Congo,Africa,5513757,1087,37,456,594,197,7,Not Available,Not Available,Africa
Costa Rica,North America,5093016,2277,12,1043,1222,447,2,35625,6995,Americas
Croatia,Europe,4105673,2336,107,2142,87,569,26,72746,17718,Europe
Cuba,North America,11326746,2315,85,2113,117,204,8,153233,13528,Americas
Curaçao,North America,164079,23,1,19,3,140,6,1080,6582,Not Available
Cyprus,Asia,1207159,988,19,824,145,818,16,148399,122932,Europe
Czechia,Europe,10708584,10561,337,7543,2681,986,31,523996,48932,Europe
DRC,Africa,89465899,5924,135,856,4933,66,2,Not Available,Not Available,Africa
Denmark,Europe,5791777,12527,602,11347,578,2163,104,923893,159518,Europe
Djibouti,Africa,987619,4599,48,3952,599,4657,49,44883,45446,EasternMediterranean
Dominica,North America,71982,18,Not Available,18,0,250,Not Available,623,8655,Americas
Dominican Republic,North America,10845284,27370,669,15338,11363,2524,62,128775,11874,Americas
Ecuador,South America,17635866,50640,4223,24991,21426,2871,239,139333,7901,Americas
Egypt,Africa,102278857,56809,2278,15133,39398,555,22,135000,1320,EasternMediterranean
El Salvador,North America,6485498,4808,107,2695,2006,741,16,142886,22032,Americas
Equatorial Guinea,Africa,1401305,1664,32,515,1117,1187,23,16000,11418,Africa
Eritrea,Africa,3545139,143,Not Available,39,104,40,Not Available,Not Available,Not Available,Africa
Estonia,Europe,1326518,1982,69,1771,142,1494,52,103210,77805,Europe
Eswatini,Africa,1159872,643,6,291,346,554,5,6551,5648,Africa
Ethiopia,Africa,114872557,4663,75,1297,3291,41,0.7,219566,1911,Africa
Faeroe Islands,Europe,48859,187,Not Available,187,0,3827,Not Available,12066,246956,Not Available
Falkland Islands,South America,3477,13,Not Available,13,0,3739,Not Available,981,282140,Not Available
Fiji,Australia/Oceania,896297,18,Not Available,18,0,20,Not Available,4000,4463,WesternPacific
Finland,Europe,5540549,7144,327,6400,417,1289,59,230500,41602,Europe
France,Europe,65270599,160750,29663,74612,56475,2463,454,1384633,21214,Europe
French Guiana,South America,298430,2458,8,972,1478,8236,27,8061,27011,Not Available
French Polynesia,Australia/Oceania,280872,60,Not Available,60,0,214,Not Available,4578,16299,Not Available
Gabon,Africa,2224089,4739,39,2002,2698,2131,18,30095,13531,Africa
Gambia,Africa,2414374,41,2,26,13,17,0.8,1970,816,Africa
Georgia,Asia,3989306,911,14,761,136,228,4,83734,20990,Europe
Germany,Europe,83778407,192119,8969,175300,7850,2293,107,5029696,60036,Europe
Ghana,Africa,31053574,14154,85,10473,3596,456,3,270300,8704,Africa
Gibraltar,Europe,33691,176,Not Available,176,0,5224,Not Available,11129,330326,Not Available
Greece,Europe,10423902,3287,190,1374,1723,315,18,285989,27436,Europe
Greenland,North America,56768,13,Not Available,13,0,229,Not Available,2830,49852,Europe
Grenada,North America,112512,23,Not Available,23,0,204,Not Available,4130,36707,Americas
Guadeloupe,North America,400123,174,14,157,3,435,35,6900,17245,Not Available
Guatemala,North America,17906094,13769,547,2818,10404,769,31,31427,1755,Americas
Guinea,Africa,13120948,4988,27,3669,1292,380,2,14407,1098,Africa
Guinea-Bissau,Africa,1966543,1556,19,191,1346,791,10,1500,763,Africa
Guyana,South America,786470,205,12,103,90,261,15,2147,2730,Americas
Haiti,North America,11399016,5211,88,338,4785,457,8,10810,948,Americas
Honduras,North America,9900320,13356,395,1362,11599,1349,40,21540,2176,Americas
Hong Kong,Asia,7495572,1162,5,1078,79,155,0.7,301108,40171,WesternPacific
Hungary,Europe,9660788,4107,573,2600,934,425,59,258861,26795,Europe
Iceland,Europe,341194,1823,10,1805,8,5343,29,69190,202788,Europe
India,Asia,1379678183,441070,14019,248286,178765,320,10,7137716,5173,South-EastAsia
Indonesia,Asia,273452965,46845,2500,18735,25610,171,9,650311,2378,South-EastAsia
Iran,Asia,83965446,207525,9742,166427,31356,2472,116,1449420,17262,EasternMediterranean
Iraq,Asia,40194782,32676,1167,14785,16724,813,29,455316,11328,EasternMediterranean
Ireland,Europe,4936422,25383,1717,22698,968,5142,348,402924,81623,Europe
Isle of Man,Europe,85023,336,24,312,0,3952,282,6022,70828,Not Available
Israel,Asia,9197590,21082,307,15761,5014,2292,33,850869,92510,Europe
Italy,Europe,60463455,238720,34657,183426,20637,3948,573,5013342,82915,Europe
Ivory Coast,Africa,26357396,7677,56,3493,4128,291,2,45996,1745,Africa
Jamaica,North America,2960892,665,10,516,139,225,3,21278,7186,Americas
Japan,Asia,126483253,17916,953,16133,830,142,8,417951,3304,WesternPacific
Jordan,Asia,10200694,1042,9,751,282,102,0.9,336133,32952,EasternMediterranean
Kazakhstan,Asia,18771059,18231,127,11158,6946,971,7,1376862,73350,Europe
Kenya,Africa,53735197,4797,125,1680,2992,89,2,142366,2649,Africa
Kuwait,Asia,4268890,40291,330,31770,8191,9438,77,357594,83767,EasternMediterranean
Kyrgyzstan,Asia,6521232,3519,41,2054,1424,540,6,191137,29310,Europe
Laos,Asia,7272765,19,Not Available,19,0,3,Not Available,13203,1815,WesternPacific
Latvia,Europe,1886483,1111,30,903,178,589,16,140437,74444,Europe
Lebanon,Asia,6825960,1603,32,1077,494,235,5,117080,17152,EasternMediterranean
Lesotho,Africa,2141857,12,Not Available,2,10,6,Not Available,2137,998,Africa
Liberia,Africa,5053963,650,34,260,356,129,7,Not Available,Not Available,Africa
Libya,Africa,6868863,595,10,116,469,87,1,20757,3022,EasternMediterranean
Liechtenstein,Europe,38126,83,1,69,13,2177,26,1685,44196,Europe
Lithuania,Europe,2722756,1803,77,1483,243,662,28,398417,146329,Europe
Luxembourg,Europe,625699,4121,110,3959,52,6586,176,149368,238722,Europe
Macao,Asia,649105,45,Not Available,45,0,69,Not Available,Not Available,Not Available,Not Available
Madagascar,Africa,27667896,1640,15,692,933,59,0.5,18741,677,Africa
Malawi,Africa,19113861,749,11,258,480,39,0.6,11536,604,Africa
Malaysia,Asia,32355388,8587,121,8177,289,265,4,686905,21230,WesternPacific
Maldives,Asia,540276,2217,8,1813,396,4103,15,42830,79274,South-EastAsia
Mali,Africa,20230893,1961,111,1266,584,97,5,10743,531,Africa
Malta,Europe,441519,665,9,617,39,1506,20,88694,200884,Europe
Martinique,North America,375270,236,14,98,124,629,37,Not Available,Not Available,Not Available
Mauritania,Africa,4645650,3121,112,905,2104,672,24,13842,2980,Africa
Mauritius,Africa,1271726,340,10,326,4,267,8,164182,129102,Africa
Mayotte,Africa,272607,2434,31,2188,215,8929,114,8800,32281,Not Available
Mexico,North America,128899712,185122,22584,140118,22420,1436,175,488550,3790,Americas
Moldova,Europe,4034131,14363,480,8019,5864,3560,119,63328,15698,Europe
Monaco,Europe,39236,101,4,95,2,2574,102,16200,412886,Europe
Mongolia,Asia,3276848,215,Not Available,158,57,66,Not Available,20726,6325,WesternPacific
Montenegro,Europe,628064,375,9,315,51,597,14,13186,20995,Europe
Montserrat,North America,4992,11,1,10,0,2204,200,61,12220,Not Available
Morocco,Africa,36899583,10172,214,8366,1592,276,6,556695,15087,EasternMediterranean
Mozambique,Africa,31225881,737,5,181,551,24,0.2,24348,780,Africa
Myanmar,Asia,54401616,291,6,200,85,5,0.1,63418,1166,South-EastAsia
Namibia,Africa,2539599,63,Not Available,21,42,25,Not Available,7331,2887,Africa
Nepal,Asia,29121970,9561,23,2148,7390,328,0.8,449474,15434,South-EastAsia
