State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Latitude,Longitude
Andaman and Nicobar Islands,119,66,0,53,04/07/2020,AN,11.66702557,92.73598262
Andhra Pradesh,17699,8008,218,9473,04/07/2020,AP,14.7504291,78.57002559
Arunachal Pradesh,259,76,1,182,05/07/2020,AR,27.10039878,93.61660071
Assam,11002,6744,14,4241,05/07/2020,AS,26.7499809,94.21666744
Bihar,11457,8488,88,2881,04/07/2020,BR,25.78541445,87.4799727
Chandigarh,459,395,6,58,04/07/2020,CH,30.71999697,76.78000565
Chhattisgarh,3161,2526,14,621,04/07/2020,CT,22.09042035,82.15998734
Dadra and Nagar Haveli and Daman and Diu,341,142,0,198,04/07/2020,DN,20.26657819,73.01661779999999
Delhi,97200,68256,3004,25940,04/07/2020,DL,28.6699929,77.23000403
Goa,1684,825,6,853,04/07/2020,GA,15.491997,73.81800065
Gujarat,35398,25414,1926,8058,04/07/2020,GJ,22.2587,71.1924
Haryana,16548,12257,260,4031,04/07/2020,HR,28.45000633,77.01999101
Himachal Pradesh,1046,696,9,328,04/07/2020,HP,31.10002545,77.16659704
Jammu and Kashmir,8246,5143,127,2976,04/07/2020,JK,34.29995933,74.46665849
Jharkhand,2739,2035,18,686,04/07/2020,JH,23.80039349,86.41998572
Karnataka,21549,9246,335,11964,04/07/2020,KA,12.57038129,76.91999711
Kerala,5205,3048,26,2129,04/07/2020,KL,8.900372741,76.56999263
Ladakh,1005,826,1,178,04/07/2020,LA,34.209515,77.615112
Lakshadweep,0,0,0,0,26/03/2020,LD,10.56257331,72.63686717
Madhya Pradesh,14604,11234,598,2772,04/07/2020,MP,21.30039105,76.13001949
Maharashtra,200064,108082,8671,83295,04/07/2020,MH,19.25023195,73.16017493
Manipur,1325,667,0,658,04/07/2020,MN,24.79997072,93.95001705
Meghalaya,70,43,1,26,04/07/2020,ML,25.57049217,91.8800142
Mizoram,164,130,0,34,04/07/2020,MZ,23.71039899,92.72001461
Nagaland,563,228,0,335,04/07/2020,NL,25.6669979,94.11657019
Odisha,8601,5934,43,2624,04/07/2020,OR,19.82042971,85.90001746
Puducherry,904,405,14,485,04/07/2020,PY,11.93499371,79.83000037
Punjab,6109,4306,162,1641,04/07/2020,PB,31.51997398,75.98000281
Rajasthan,19532,15640,447,3445,04/07/2020,RJ,26.44999921,74.63998124
Sikkim,103,52,0,51,04/07/2020,SK,27.3333303,88.6166475
Tamil Nadu,107001,60592,1450,44959,04/07/2020,TN,12.92038576,79.15004187
Telangana,22312,11537,288,10487,04/07/2020,TG,18.1124,79.0193
Tripura,1558,1199,1,358,04/07/2020,TR,23.83540428,91.27999914
Uttar Pradesh,26554,18154,773,7627,04/07/2020,UP,27.59998069,78.05000565
Uttarakhand,3093,2502,42,522,04/07/2020,UT,30.32040895,78.05000565
West Bengal,21231,14166,736,6329,04/07/2020,WB,22.58039044,88.32994665
